NumSp,Plot,biomass
1,109,528.1659999999999
1,11,474.70000000000005
1,129,1291.5339999999999
1,135,922.7660000000001
1,137,2784.433
1,142,888.633
1,151,251.065
1,153,382.93399999999997
1,16,381.533
1,161,1761.433
1,163,825.533
1,167,1207.901
1,185,1351.801
1,2,701.301
1,20,589.999
1,205,1956.8
1,230,1294
1,237,500.29900000000004
1,255,1430.033
1,256,300.766
1,265,1128.1
1,267,1795.834
1,268,748.768
1,280,469
1,282,758.035
1,29,1473.5330000000001
1,290,1385.2
1,291,717.1
1,296,79.499
1,308,503.266
1,31,368.366
1,333,322.8
1,338,1128.067
1,5,574.467
1,69,649.533
1,83,772.634
1,87,523.165
1,92,945.9
1,94,2257.5009999999997
2,117,1121.499
2,125,1884.633
2,127,1030.966
2,14,1099.6
2,157,434.06600000000003
2,165,897.635
2,168,1249.9
2,171,1992.433
2,175,3061.967
2,189,1215.468
2,193,2778.134
2,197,1490.333
2,211,2438.332
2,221,522.432
2,224,984.334
2,234,2753.867
2,236,2121.301
2,259,2222.334
2,272,1304.8
2,278,700.6990000000001
2,300,2957.599
2,304,859.033
2,311,2038.899
2,32,521.902
2,322,1091.134
2,324,734.7330000000001
2,330,1155
2,334,814.734
2,335,945.668
2,342,2594.666
2,48,2421.833
2,56,2911.568
2,6,431.033
2,73,1225.234
2,75,871.3000000000001
4,110,2079.001
4,133,1984.633
4,138,1603.234
4,139,2310.666
4,149,1578.9
4,176,1612.2
4,190,2014.566
4,199,3188.899
4,201,4929.299
4,223,1470.6
4,225,1922.3990000000001
4,229,1757.732
4,233,2698.501
4,24,382.066
4,26,1379.3
4,28,1152.301
4,286,1174.7
4,287,650.8340000000001
4,3,370.101
4,302,2841.367
4,325,1857.133
4,33,974.6
4,44,1151.632
4,45,1697.999
4,53,1547.1009999999999
4,58,924.634
4,62,1616.433
4,70,2271.032
4,93,2203.068
8,104,2140.166
8,111,1040.4
8,115,928.9340000000001
8,118,1008.101
8,12,2455.165
8,130,2639.4
8,146,2121.401
8,15,2539.233
8,170,1611.166
8,177,1994.634
8,178,2808.866
8,206,2494
8,208,3076.767
8,210,3182.533
8,213,1632.002
8,22,1151.599
8,232,3019.267
8,266,1916.399
8,283,776.734
8,292,2164.833
8,293,2862.301
8,303,2811.133
8,307,2545.966
8,313,1662.366
8,50,1808.8
8,57,2695.068
8,67,2734.333
8,74,1711.433
8,81,1203.635
8,98,2736.001
16,107,1262.267
16,108,2185.267
16,136,3189.5660000000003
16,156,1396.8
16,160,842.266
16,164,2216.6
16,169,2542.767
16,174,3115.532
16,186,2734.967
16,202,4446.734
16,220,2006.334
16,227,3198.833
16,235,3218.067
16,239,2805.033
16,242,1787.968
16,253,2011
16,257,2834.166
16,27,3512.567
16,273,5458.268
16,299,2833.1659999999997
16,30,1742.434
16,301,2363.899
16,318,2724.267
16,328,3371.6
16,329,2828.066
16,331,3220.3
16,336,2686.5
16,339,3018.467
16,34,1247.2
16,35,1712.432
16,46,1833.467
16,68,2910.367
16,82,2506.533
16,89,3270.634
16,9,2012.833
