Fish,Temperature_C,Body_mass,Per_capita_N,Per_capita_P
1,16.4,4.5,2.45,1.71
2,16.4,5.4,10.67,2.16
3,16.4,5.75,14.89,1.66
4,16.4,5.8,21.69,1.49
5,16.4,5.95,20.14,2.14
6,16.4,9.2,25.25,3.21
7,16.4,10.9,31.93,1.99
8,16.4,11.1,9.4,2.69
9,16.4,11.65,37.01,2.48
10,16.4,11.8,33.52,3.91
11,16.4,12.2,11.24,2.75
12,16.4,13.9,28.64,3.25
13,16.4,32.4,60.8,3.87
14,16.4,36,46.74,5.58
15,16.4,42.2,87.98,5.84
16,16.4,42.5,76.08,4.46
17,16.4,44.2,91.62,6.05
18,16.4,49.2,77.58,5.88
19,16.4,50,63.04,6.82
20,16.4,50.2,70.66,7.08
21,16.4,51.5,152.3,7.32
22,16.4,52,53.93,8.22
23,16.4,54.7,101.46,4.74
24,16.4,55,70.07,7.01
25,16.4,57.1,87.19,7.66
26,16.4,64.3,125.98,7.82
27,16.4,66.4,128.83,6.41
28,16.4,78.8,97.49,9.04
29,16.4,90.9,123.4,9.81
30,17,4.82,23.1,1.1
31,17,5.98,31.16,1.41
32,17,6,36.37,1.57
33,17,6.04,24.87,1.1
34,17,6.61,27.17,1.69
35,17,7.77,28.58,0.99
36,17,9.05,43.78,1.31
37,17,9.89,41.97,1.24
38,17,16.96,47.38,1.71
39,17,17.16,43.26,1.11
40,17,24.3,69.53,3.41
41,17,25.73,64.12,4.01
42,17,27.22,61.8,1.83
43,17,28.74,78.02,2.65
44,17,32.55,101.2,4.08
45,17,32.66,82.66,4.86
46,17,33.01,97.34,4.78
47,17,100.33,209.87,12.05
48,17,103.5,251.07,12.98
49,17,129.43,240.12,18.79
50,18.5,17.67,77,5.57
51,18.5,21.92,171.27,5.57
52,18.5,23.22,207.09,6.13
53,18.5,23.86,207.12,7.8
54,18.5,30.19,193.84,7.25
55,20.1,16.71,45.29,3.81
56,20.1,17.51,48.46,4.41
57,20.1,18.45,52.02,4.99
58,20.1,18.81,41.36,4.93
59,20.1,18.82,38.06,3.55
60,20.1,20.42,64.96,4.61
61,20.1,20.85,57.6,4.91
62,20.1,21.75,72.57,7.5
63,20.1,22.7,90.46,5.51
